PhraseId,SentenceId,Phrase,Sentiment,length,word_length,label
60043,3029,unexplainable,1,1,13,train
83065,4286,shrieky,2,1,7,train
37444,1777,rough-trade,2,1,11,train
12365,528,mountain,2,1,8,train
122466,6567,intervention,2,1,12,train
1563,58,spooky,2,1,6,train
88821,4614,charitable,3,1,10,train
19377,851,Godard,2,1,6,train
151387,8254,Congrats,2,1,8,train
150934,8227,interlocked,2,1,11,train
47261,2303,Brody,2,1,5,train
37895,1802,purposeless,1,1,11,train
80864,4168,repeating,3,1,9,train
120232,6429,trivializing,2,1,12,train
80035,4124,agony,1,1,5,train
28455,1316,indieflick,2,1,10,train
67932,3449,played-out,1,1,10,train
24343,1106,clung-to,2,1,8,train
85116,4402,unfortunate,2,1,11,train
8630,358,unfolding,2,1,9,train
2446,93,bottom,1,1,6,train
59573,3004,21st,2,1,4,train
37430,1777,Deuces,2,1,6,train
58032,2924,Plummer,2,1,7,train
135795,7335,overuse,1,1,7,train
25645,1171,half-baked,1,1,10,train
26609,1220,certain,3,1,7,train
36618,1733,weeks,2,1,5,train
7212,293,retaliation,2,1,11,train
48443,2367,C'mon,2,1,5,train
111523,5917,coat,2,1,4,train
135957,7343,semen,2,1,5,train
152991,8353,glacially,2,1,9,train
132129,7123,Mirren,2,1,6,train
138584,7506,thrives,2,1,7,train
81204,4185,self-knowledge,2,1,14,train
134312,7246,from-television,2,1,15,train
11567,497,insistently,2,1,11,train
135161,7295,avenues,2,1,7,train
9778,406,95-minute,2,1,9,train
75981,3899,Sorcerer,2,1,8,train
11156,479,widely,2,1,6,train
15046,647,Karen,2,1,5,train
136933,7405,fearful,1,1,7,train
51241,2521,overlapping,2,1,11,train
33425,1567,delivery,2,1,8,train
140726,7635,warm-milk,2,1,9,train
78379,4032,Sober,2,1,5,train
42731,2062,neuroses,2,1,8,train
4563,173,handed,2,1,6,train
98179,5144,dishonesty,1,1,10,train
105560,5573,Sharpie,2,1,7,train
40778,1954,glimpse,2,1,7,train
24412,1109,artsy,3,1,5,train
8095,334,Leigh,2,1,5,train
2500,95,graced,3,1,6,train
84806,4386,subsequent,2,1,10,train
22079,990,Caine,2,1,5,train
8493,352,Holly,2,1,5,train
228,8,with,2,1,4,train
3272,123,forgettably,1,1,11,train
116670,6221,sub-Tarantino,2,1,13,train
145179,7887,loopiness,2,1,9,train
119047,6363,flexible,3,1,8,train
51613,2544,Velocity,2,1,8,train
27332,1255,choice,2,1,6,train
96560,5044,Americanized,2,1,12,train
3475,129,brilliant,4,1,9,train
74912,3840,despicable,1,1,10,train
63930,3235,Sissako,2,1,7,train
4177,157,break,2,1,5,train
91670,4769,tooled,2,1,6,train
29415,1363,printed,2,1,7,train
65730,3332,astronaut,2,1,9,train
36804,1744,dolorous,2,1,8,train
68164,3460,girlish,2,1,7,train
144555,7847,peroxide,2,1,8,train
143368,7781,slugfest,2,1,8,train
114681,6102,uninhibited,3,1,11,train
67906,3448,Lucas,2,1,5,train
51555,2539,underbelly,2,1,10,train
68761,3493,Olympia,2,1,7,train
40362,1931,callow,1,1,6,train
5835,233,plotting,3,1,8,train
67307,3415,nominated,2,1,9,train
42095,2026,dancers,2,1,7,train
61425,3104,connoisseurs,2,1,12,train
17148,744,built-in,2,1,8,train
54149,2689,pies,2,1,4,train
25564,1168,childish,1,1,8,train
24210,1100,fervently,2,1,9,train
33238,1557,careful,2,1,7,train
36026,1700,suppose,2,1,7,train
42038,2023,gourd,2,1,5,train
77842,4003,indifference,1,1,12,train
16195,699,prurient,2,1,8,train
110674,5864,drowsy,1,1,6,train
27227,1253,surefire,2,1,8,train
17331,752,all-too-familiar,1,1,16,train
13276,570,tiny,2,1,4,train
19095,837,grossly,1,1,7,train
127458,6855,betters,2,1,7,train
6575,261,chew,2,1,4,train
133946,7228,pleas,2,1,5,train
67757,3441,bare,2,1,4,train
1536,57,your,2,1,4,train
48290,2357,folktales,2,1,9,train
86895,4503,Electric,4,1,8,train
126181,6780,torrent,2,1,7,train
31512,1474,white-empowered,2,1,15,train
23716,1077,Tosca,2,1,5,train
5923,236,retro,2,1,5,train
124797,6706,dues,2,1,4,train
62818,3179,G-rated,2,1,7,train
72019,3677,withstand,2,1,9,train
32361,1516,strays,1,1,6,train
62772,3175,powered,2,1,7,train
75102,3850,aimlessly,1,1,9,train
16326,703,innovators,3,1,10,train
75615,3876,infusing,2,1,8,train
5979,239,gifted,3,1,6,train
45747,2224,obscenely,1,1,9,train
36652,1735,boost,2,1,5,train
43433,2100,shrill,2,1,6,train
58663,2957,hand-held,2,1,9,train
113794,6048,Vibrantly,3,1,9,train
14073,605,hubristic,2,1,9,train
33009,1546,splendidly,2,1,10,train
136651,7387,lesbian,2,1,7,train
20933,934,putrid,1,1,6,train
82210,4242,Bombay,2,1,6,train
12715,547,brought,2,1,7,train
119274,6374,intermittent,2,1,12,train
79400,4090,darkly,2,1,6,train
73970,3782,Mandy,2,1,5,train
143153,7771,ready-made,2,1,10,train
6388,253,mindset,2,1,7,train
50445,2481,Pete,2,1,4,train
69482,3532,uppity,1,1,6,train
21524,963,infused,2,1,7,train
127879,6878,Queens,2,1,6,train
49167,2402,Israeli,2,1,7,train
92363,4809,Sacre,2,1,5,train
29223,1352,trite,1,1,5,train
33493,1571,Blandly,1,1,7,train
141049,7649,linearity,2,1,9,train
41579,2001,oily,2,1,4,train
3490,129,pay,2,1,3,train
75908,3894,deafening,1,1,9,train
57600,2905,hypocritical,1,1,12,train
97951,5129,echo,2,1,4,train
89436,4649,fix,2,1,3,train
88859,4616,steadily,2,1,8,train
75468,3869,Canadian,2,1,8,train
119721,6403,intermediary,2,1,12,train
144090,7820,redolent,1,1,8,train
27133,1248,mojo,2,1,4,train
27525,1264,belly,2,1,5,train
12542,537,desired,2,1,7,train
44128,2138,curve,2,1,5,train
97982,5132,boredom,0,1,7,train
44713,2168,giddy,2,1,5,train
103077,5432,evaded,1,1,6,train
40351,1931,inhalant,2,1,8,train
106914,5645,household,2,1,9,train
97927,5127,Luke,2,1,4,train
91925,4783,timelessness,3,1,12,train
80105,4126,worm,2,1,4,train
118577,6336,cryin,2,1,5,train
43811,2124,realistically,3,1,13,train
53462,2650,households,2,1,10,train
14715,634,Triple,2,1,6,train
129097,6943,Tara,2,1,4,train
28857,1338,Schumacher,2,1,10,train
59385,2994,uncreative,1,1,10,train
19700,868,manual,1,1,6,train
48810,2383,jaw-dropping,3,1,12,train
2702,103,humane,3,1,6,train
50456,2481,even-flowing,2,1,12,train
65358,3309,Sayles,2,1,6,train
75276,3862,quirks,2,1,6,train
200,7,Narratively,2,1,11,train
9430,392,operating,2,1,9,train
102466,5393,sparring,2,1,8,train
4588,174,Charming,4,1,8,train
80899,4170,earplugs,2,1,8,train
120267,6430,remain-nameless,2,1,15,train
18334,800,diva,3,1,4,train
109538,5802,hayseeds-vs,2,1,11,train
429,16,relief,2,1,6,train
67826,3444,grandness,3,1,9,train
27344,1255,fabric,2,1,6,train
46152,2246,La,2,1,2,train
34821,1638,smell,2,1,5,train
28797,1335,feeds,2,1,5,train
95552,4989,head-turner,3,1,11,train
25218,1152,pure,4,1,4,train
50765,2497,Twinkie,2,1,7,train
111422,5911,deer,2,1,4,train
21819,977,showcase,2,1,8,train
127529,6860,eponymous,2,1,9,train
11142,478,either,2,1,6,train
17907,779,flop,1,1,4,train
64001,3237,infinitely,2,1,10,train
155846,8531,gang-infested,1,1,13,train
37554,1784,inquisitive,3,1,11,train
16698,721,reunion,3,1,7,train
120415,6438,slowest,1,1,7,train
147492,8027,graphically,2,1,11,train
113088,6005,Leonard,2,1,7,train
61035,3084,prima,3,1,5,train
116779,6228,bio-drama,2,1,9,train
86172,4460,LaPaglia,2,1,8,train
12790,551,Somewhere,2,1,9,train
65919,3342,midway,2,1,6,train
122140,6545,sixth-grade,2,1,11,train
48451,2368,Shekhar,2,1,7,train
34788,1636,intermingling,2,1,13,train
27756,1274,cussing,1,1,7,train
131413,7079,Janine,2,1,6,train
43163,2085,entity,2,1,6,train
11760,507,essence,2,1,7,train
105761,5583,stalked,2,1,7,train
44100,2136,span,2,1,4,train
60701,3066,Bela,2,1,4,train
34096,1602,Gussied,2,1,7,train
34725,1632,Ball,2,1,4,train
59243,2989,manipulating,2,1,12,train
3133,118,culture,2,1,7,train
143779,7802,library,2,1,7,train
19739,869,missing,2,1,7,train
15333,657,consumed,2,1,8,train
263,10,could,2,1,5,train
145016,7876,yawn,1,1,4,train
6350,252,unsuspecting,2,1,12,train
126213,6782,high-adrenaline,2,1,15,train
16856,730,guess,2,1,5,train
144562,7847,worldly,2,1,7,train
11433,491,overproduced,1,1,12,train
3351,126,Mostly,2,1,6,train
95287,4973,thrust,2,1,6,train
104005,5484,nobility,2,1,8,train
45992,2236,generosity,3,1,10,train
6800,273,become,2,1,6,train
146059,7942,acclaim,3,1,7,train
21471,961,diminishing,2,1,11,train
102255,5380,criticizing,2,1,11,train
108614,5749,Impresses,3,1,9,train
144787,7859,caused,3,1,6,train
24444,1111,III,2,1,3,train
20675,923,Satin,2,1,5,train
75758,3883,relaxed,2,1,7,train
66090,3352,Cimarron,2,1,8,train
36234,1712,Food,3,1,4,train
88018,4572,McWilliams,2,1,10,train
22624,1022,closely,2,1,7,train
18469,810,snobbery,1,1,8,train
139208,7545,uproariously,2,1,12,train
42035,2023,jolted,2,1,6,train
40220,1927,snickers,2,1,8,train
14938,641,glass-shattering,2,1,16,train
27239,1253,best-foreign-film,4,1,17,train
147841,8044,Rehearsals,2,1,10,train
70666,3602,board,2,1,5,train
122242,6553,Margaret,2,1,8,train
49564,2427,1984,2,1,4,train
97563,5102,fleshed-out,2,1,11,train
53508,2652,spending,2,1,8,train
54675,2721,humiliated,2,1,10,train
6846,274,predictability,2,1,14,train
8606,357,zip,2,1,3,train
56866,2859,perennial,2,1,9,train
1335,50,Bloody,1,1,6,train
155210,8496,liberalism,2,1,10,train
1542,58,Mark,2,1,4,train
146576,7972,nit-picky,1,1,9,train
23395,1060,dynamism,3,1,8,train
68335,3467,illogical,1,1,9,train
74519,3820,County,2,1,6,train
112478,5973,unsuccessful,0,1,12,train
6682,266,bullet,2,1,6,train
7128,289,web,2,1,3,train
95603,4992,contract,2,1,8,train
67087,3405,P.C.,2,1,4,train
83996,4339,practices,3,1,9,train
97904,5126,out-depress,2,1,11,train
21988,986,merits,3,1,6,train
24923,1136,strictness,2,1,10,train
14128,609,boots,2,1,5,train
8436,350,a-knocking,3,1,10,train
32033,1499,soar,2,1,4,train
91309,4750,insatiable,2,1,10,train
99449,5214,every-joke-has,2,1,14,train
5260,208,soulful,3,1,7,train
19570,859,suits,2,1,5,train
85522,4422,Aurelie,2,1,7,train
74338,3808,give-me-an-Oscar,3,1,16,train
78202,4023,105,2,1,3,train
76462,3928,salt,2,1,4,train
14191,611,tough-man,2,1,9,train
140157,7604,orphans,2,1,7,train
80994,4174,Viterelli,2,1,9,train
39239,1872,tie,2,1,3,train
10542,444,cell,2,1,4,train
8503,352,hothouse,2,1,8,train
46332,2253,meaningless,0,1,11,train
21753,972,Pixar,2,1,5,train
14246,614,stay,2,1,4,train
51815,2555,Prophecies,2,1,10,train
131944,7112,unexamined,2,1,10,train
70604,3599,riding,2,1,6,train
65792,3335,been-there,2,1,10,train
123855,6651,annual,2,1,6,train
63378,3206,sabotage,1,1,8,train
132543,7146,satyr,2,1,5,train
27941,1282,regain,2,1,6,train
36759,1742,Onion,2,1,5,train
90828,4726,trickery,1,1,8,train
73683,3768,Antonio,2,1,7,train
49753,2440,bawdy,1,1,5,train
119863,6411,judicious,2,1,9,train
473,17,inspired,3,1,8,train
74391,3811,Simpson,2,1,7,train
22390,1010,Stone,2,1,5,train
24361,1107,earth,2,1,5,train
59228,2989,11,2,1,2,train
66314,3363,privileged,2,1,10,train
22004,988,asked,2,1,5,train
140734,7635,perfunctory,2,1,11,train
7862,320,substantive,3,1,11,train
12570,540,CEO,2,1,3,train
13925,599,stifling,2,1,8,train
21107,944,fantasti,3,1,8,train
154549,8447,captives,2,1,8,train
45640,2218,working-class,2,1,13,train
49569,2427,Sergio,2,1,6,train
43366,2096,sugary,2,1,6,train
130105,7007,standbys,2,1,8,train
79188,4078,carrier,2,1,7,train
38895,1855,well-behaved,2,1,12,train
551,20,more,2,1,4,train
136329,7370,broader,2,1,7,train
1935,71,not,1,1,3,train
149338,8126,scattershot,2,1,11,train
12357,528,following,2,1,9,train
102196,5378,meddles,2,1,7,train
49160,2402,articulate,2,1,10,train
14928,641,confined,1,1,8,train
5525,219,anti-feminist,1,1,13,train
74709,3830,agents,2,1,6,train
67927,3449,milking,2,1,7,train
4559,173,bit,2,1,3,train
62028,3136,died,1,1,4,train
127588,6862,gesturing,3,1,9,train
120324,6432,secretly,2,1,8,train
34529,1622,hodgepodge,1,1,10,train
9063,378,ingratiating,1,1,12,train
49500,2422,self-inflicted,2,1,14,train
14302,616,impacts,3,1,7,train
30385,1410,15,2,1,2,train
434,16,movies,2,1,6,train
85534,4422,fairytale,3,1,9,train
63699,3225,hour-and-a-half,2,1,15,train
67122,3407,Transporter,2,1,11,train
22561,1020,librarian,2,1,9,train
1512,55,Perhaps,2,1,7,train
111138,5890,140,2,1,3,train
26627,1221,stench,1,1,6,train
1819,67,under,2,1,5,train
11512,496,dignity,2,1,7,train
57158,2879,51,2,1,2,train
2296,87,acting,2,1,6,train
5224,207,renowned,3,1,8,train
86550,4481,loser,1,1,5,train
108013,5714,anecdote,2,1,8,train
74432,3814,recognise,3,1,9,train
25228,1152,infusion,2,1,8,train
61867,3127,champagne,2,1,9,train
13511,581,veteran,3,1,7,train
60668,3065,perspicacious,2,1,13,train
100876,5298,Potemkin,2,1,8,train
36770,1742,fertile,3,1,7,train
20529,917,princess,2,1,8,train
76758,3947,ups,3,1,3,train
27297,1254,remotely,2,1,8,train
129835,6989,credulity,2,1,9,train
29731,1377,Amir,2,1,4,train
34538,1623,flimsier,2,1,8,train
4845,185,blab,1,1,4,train
30330,1408,deserved,2,1,8,train
25201,1152,26-year-old,2,1,11,train
60963,3078,projection,2,1,10,train
80686,4156,dry-eyed,2,1,8,train
94559,4936,giant-screen,2,1,12,train
116623,6219,Vanessa,2,1,7,train
22090,990,punching,2,1,8,train
96551,5044,contrasting,2,1,11,train
12214,522,laugh-a-minute,3,1,14,train
9975,418,hoped,2,1,5,train
433,16,baseball,2,1,8,train
74151,3798,Bean,2,1,4,train
124486,6688,moralism,2,1,8,train
20064,890,standard-issue,2,1,14,train
2609,100,furrow,2,1,6,train
47361,2309,include,2,1,7,train
62872,3181,huge-screen,3,1,11,train
25151,1149,dreamlike,3,1,9,train
76000,3900,dysfunction,1,1,11,train
129692,6975,malnourished,1,1,12,train
23945,1087,consistent,3,1,10,train
86,3,fans,3,1,4,train
93670,4884,Hughes,2,1,6,train
109466,5797,bestial,2,1,7,train
108231,5726,lumbering,1,1,9,train
129490,6962,nine-year-old,2,1,13,train
27868,1279,edition,2,1,7,train
36761,1742,proven,2,1,6,train
27349,1256,virtual,2,1,7,train
4781,182,base,2,1,4,train
14064,605,Chalk,2,1,5,train
14033,603,refresh,3,1,7,train
68669,3489,roster,2,1,6,train
95074,4958,explain,2,1,7,train
3411,127,champion,3,1,8,train
43621,2111,authority,2,1,9,train
122408,6563,Abysmally,1,1,9,train
33190,1555,in-jokey,2,1,8,train
67383,3420,fluke,1,1,5,train
2616,101,Green,2,1,5,train
105416,5567,P,2,1,1,train
33110,1552,per,2,1,3,train
1061,39,soon,2,1,4,train
113923,6056,outgag,2,1,6,train
22291,1002,excesses,2,1,8,train
12776,550,thought-provoking,3,1,17,train
81105,4179,Plunges,2,1,7,train
95019,4956,redeem,2,1,6,train
135849,7337,BMX,2,1,3,train
25879,1185,ability,2,1,7,train
13141,565,Motown,2,1,6,train
29696,1375,blood-soaked,2,1,12,train
122859,6590,nationalist,2,1,11,train
49067,2396,Lookin,2,1,6,train
40317,1930,unsubtle,1,1,8,train
58756,2962,time-switching,2,1,14,train
10570,447,directive,2,1,9,train
15282,655,assume,2,1,6,train
42116,2027,actor\/director,2,1,15,train
65672,3328,Rothman,2,1,7,train
111572,5920,stylistically,3,1,13,train
92078,4792,vectors,2,1,7,train
52522,2599,pulchritude,2,1,11,train
64797,3281,Rose,2,1,4,train
108126,5720,Thandie,2,1,7,train
45406,2206,grumble,1,1,7,train
94321,4923,hurried,2,1,7,train
13341,573,Randolph,3,1,8,train
6311,252,Carvey,2,1,6,train
32546,1525,literally,3,1,9,train
97781,5119,steps,2,1,5,train
1046,38,`,2,1,1,train
148282,8069,EEE,2,1,3,train
86823,4498,wreck,1,1,5,train
137140,7417,profession,2,1,10,train
50374,2477,assaultive,1,1,10,train
127416,6853,arithmetic,2,1,10,train
95329,4975,pseudo-educational,2,1,18,train
16680,720,efficiently,3,1,11,train
54299,2698,converts,2,1,8,train
131588,7090,creed,2,1,5,train
138727,7517,cleverest,3,1,9,train
23439,1063,Valley,2,1,6,train
122881,6592,90-plus,3,1,7,train
16351,704,conflict,1,1,8,train
16862,730,crew,2,1,4,train
5566,220,week,2,1,4,train
105460,5569,Colgate,2,1,7,train
5852,233,blaxploitation,1,1,14,train
88871,4617,hats,2,1,4,train
54966,2738,poof,2,1,4,train
80719,4157,Pollak,2,1,6,train
57407,2893,induces,2,1,7,train
21377,955,helps,2,1,5,train
122246,6553,ruinous,2,1,7,train
101365,5328,standup,2,1,7,train
9370,390,everybody,2,1,9,train
26301,1204,loud,2,1,4,train
11377,488,nudity,1,1,6,train
132366,7137,off-screen,2,1,10,train
53203,2640,archives,2,1,8,train
26274,1203,Schneider,2,1,9,train
39398,1882,sample,2,1,6,train
55188,2751,stalker,2,1,7,train
7969,324,somewhat,2,1,8,train
24645,1122,phone,2,1,5,train
45335,2204,workers,2,1,7,train
78865,4058,uninvolving,1,1,11,train
22430,1012,Tyco,2,1,4,train
134190,7242,w,2,1,1,train
15293,655,ladies,2,1,6,train
28145,1293,leaks,2,1,5,train
55448,2767,emailed,2,1,7,train
149195,8118,stand-off,2,1,9,train
15637,670,pretended,1,1,9,train
44002,2133,bonds,2,1,5,train
75742,3882,pursuers,2,1,8,train
58941,2972,stylists,3,1,8,train
70835,3610,deportment,2,1,10,train
916,33,early,2,1,5,train
153434,8379,recovered,2,1,9,train
137248,7425,excite,3,1,6,train
39415,1882,resembling,2,1,10,train
29003,1343,dots,2,1,4,train
14974,643,express,2,1,7,train
138645,7511,police-procedural,2,1,17,train
92077,4792,uncoordinated,1,1,13,train
38206,1817,lushness,3,1,8,train
7238,294,sustain,2,1,7,train
37609,1787,mixed-up,3,1,8,train
12102,518,Nebrida,3,1,7,train
77119,3966,Skulls,2,1,6,train
6882,275,auteur,2,1,6,train
28034,1287,capturing,3,1,9,train
48876,2387,Swiftly,3,1,7,train
95850,5008,needles,2,1,7,train
65709,3330,artistically,3,1,12,train
141306,7664,punched,2,1,7,train
42900,2072,#,2,1,1,train
51475,2534,Chabrolian,2,1,10,train
47042,2294,impenetrable,2,1,12,train
53087,2634,bracingly,2,1,9,train
34871,1641,tend,2,1,4,train
81935,4227,comeuppance,2,1,11,train
17467,757,endings,2,1,7,train
36010,1699,drips,2,1,5,train
21723,970,Italian-language,2,1,16,train
21733,971,worthless,0,1,9,train
13862,596,triumphs,3,1,8,train
33353,1562,sleeper,3,1,7,train
13533,581,explaining,2,1,10,train
44133,2139,McKay,2,1,5,train
27442,1259,reluctant,1,1,9,train
60106,3032,Hawley,2,1,6,train
1376,51,TV-movie,2,1,8,train
61529,3110,globe,2,1,5,train
147780,8040,affability,2,1,10,train
142234,7716,guilt-suffused,2,1,14,train
27620,1268,Buckaroo,3,1,8,train
16528,710,interminable,2,1,12,train
8542,353,introduces,3,1,10,train
52814,2617,paying,2,1,6,train
66599,3379,Farenheit,2,1,9,train
81303,4191,Kafkaesque,2,1,10,train
111540,5918,grumbling,1,1,9,train
43654,2116,devoted,2,1,7,train
134676,7268,shameful,1,1,8,train
121045,6483,compensated,2,1,11,train
2671,102,D.,2,1,2,train
94504,4932,smaller,2,1,7,train
62056,3138,respites,2,1,8,train
85485,4421,annals,2,1,6,train
4894,190,several,2,1,7,train
28136,1293,setup,2,1,5,train
143813,7804,worldly-wise,2,1,12,train
117429,6266,Braveheart,2,1,10,train
2000,75,looking,2,1,7,train
5494,218,serves,2,1,6,train
105,3,have,2,1,4,train
77558,3989,inter-family,2,1,12,train
20256,901,police,2,1,6,train
2300,88,IMAX,2,1,4,train
81353,4193,lensing,2,1,7,train
113726,6044,coherence,2,1,9,train
11732,505,Gantz,2,1,5,train
37114,1759,verges,2,1,6,train
45377,2205,extension,2,1,9,train
17337,752,Holocaust,2,1,9,train
125850,6760,10-course,2,1,9,train
24057,1093,thank,3,1,5,train
126616,6808,Bille,2,1,5,train
18889,828,tardier,1,1,7,train
11092,473,enduring,3,1,8,train
14409,620,evening,2,1,7,train
118021,6304,R,2,1,1,train
4123,155,uninspired,1,1,10,train
68168,3460,ducts,2,1,5,train
11859,509,delights,3,1,8,train
515,18,mainland,2,1,8,train
57037,2871,Malkovich,2,1,9,train
2578,98,room,2,1,4,train
102209,5379,Laconic,2,1,7,train
15968,685,said,2,1,4,train
22759,1030,pop-induced,2,1,11,train
14879,640,wraps,2,1,5,train
9675,403,SECRETARY,2,1,9,train
71595,3652,arrived,2,1,7,train
1161,42,boy,2,1,3,train
7231,294,entertainment,3,1,13,train
54148,2689,fruit,2,1,5,train
7489,303,cleverness,3,1,10,train
152779,8337,evergreen,2,1,9,train
18104,789,hearing,2,1,7,train
24602,1120,hopelessly,2,1,10,train
117121,6248,flying,2,1,6,train
107836,5702,cycle,2,1,5,train
104985,5546,bust,1,1,4,train
24626,1121,gender-provoking,3,1,16,train
40249,1928,point-of-view,2,1,13,train
520,19,As,2,1,2,train
8660,360,bypass,2,1,6,train
7927,322,foreign,2,1,7,train
59014,2977,cutoffs,2,1,7,train
9740,405,Barbershop,2,1,10,train
11564,497,consuming,2,1,9,train
42440,2045,noir,2,1,4,train
108141,5720,galore,2,1,6,train
37044,1754,undramatic,1,1,10,train
6246,248,remember,2,1,8,train
7070,284,humbuggery,1,1,10,train
141842,7694,fatherhood,2,1,10,train
46231,2250,firmly,3,1,6,train
49150,2401,irrevocable,2,1,11,train
40179,1925,RINGU,1,1,5,train
63590,3219,indistinct,2,1,10,train
112127,5952,ideally,3,1,7,train
34332,1611,overrun,1,1,7,train
15203,653,sleep,1,1,5,train
101837,5360,loveless,1,1,8,train
145772,7923,legs,3,1,4,train
152442,8318,coupled,2,1,7,train
13519,581,bohos,2,1,5,train
52434,2594,Orchard,2,1,7,train
82426,4256,gymnastics,2,1,10,train
82504,4259,McLaughlin,2,1,10,train
7776,316,mainly,2,1,6,train
96247,5027,billing,2,1,7,train
38569,1838,savor,3,1,5,train
102588,5400,murder-on-campus,2,1,16,train
124098,6662,blossom,2,1,7,train
88673,4607,Maryam,2,1,6,train
26089,1194,building,2,1,8,train
22526,1019,impossibly,1,1,10,train
3623,135,toward,2,1,6,train
47632,2321,cunning,3,1,7,train
13129,564,relying,2,1,7,train
135890,7339,unromantic,1,1,10,train
124801,6706,unread,2,1,6,train
107809,5700,vicious,2,1,7,train
15534,666,advert,2,1,6,train
49078,2397,confines,2,1,8,train
145256,7892,namesake,2,1,8,train
16572,714,Grumpy,2,1,6,train
3982,150,failing,1,1,7,train
10899,465,ear,2,1,3,train
508,18,Kong,2,1,4,train
63439,3210,Duke,2,1,4,train
9303,388,Delia,2,1,5,train
137191,7419,Cliff-Notes,2,1,11,train
17099,741,dwell,2,1,5,train
10493,442,damaged,1,1,7,train
29106,1347,recognizably,2,1,12,train
108291,5730,unlaughable,1,1,11,train
26581,1219,Paxton,2,1,6,train
43479,2101,conformity,2,1,10,train
6460,256,esoteric,3,1,8,train
26815,1230,spends,2,1,6,train
126120,6776,self-determination,3,1,18,train
147839,8043,all-out,1,1,7,train
27583,1267,Punch-Drunk,2,1,11,train
15927,683,literature,2,1,10,train
15276,655,agreed,3,1,6,train
123054,6603,squirm,2,1,6,train
92130,4794,innovations,2,1,11,train
14619,630,detailed,3,1,8,train
151866,8286,Egypt,2,1,5,train
151187,8242,cue,2,1,3,train
75123,3852,treats,2,1,6,train
6158,245,bump-in,2,1,7,train
1125,41,slip,2,1,4,train
45029,2185,self-congratulation,2,1,19,train
127697,6868,untold,2,1,6,train
71291,3636,Kerrigan,2,1,8,train
95138,4961,camouflaging,2,1,12,train
125408,6738,enabling,2,1,8,train
109382,5792,regards,2,1,7,train
17582,761,rein,2,1,4,train
20964,936,faster,2,1,6,train
38229,1818,Showgirls,2,1,9,train
